symbol,k_vol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_gross,e_pnl_net,sharpe,profit_factor
BTC/USDT,7.0,2.5,2.0,1.5,224,0.3392857142857143,-0.0004106096959503231,-0.0023106096959503233,-119.5464529744806,0.23518730628532833
ETH/USDT,3.0,1.5,1.0,0.5,1430,0.11888111888111888,-0.0005125746977783226,-0.0030125746977783217,-294.1191235807706,0.04086537430228711
ETH/USDT,3.0,1.5,1.0,1.0,1416,0.21257062146892655,-0.0006356860298278332,-0.0031356860298278333,-191.998598444886,0.07214754988709803
ETH/USDT,3.0,1.5,1.0,1.5,1383,0.2913955169920463,-0.0003881943301587972,-0.002888194330158797,-141.4136507590095,0.10729377471751297
ETH/USDT,3.0,1.5,1.5,0.5,1425,0.16140350877192983,-0.0003442692481939057,-0.0028442692481939055,-222.40727428551008,0.10315183713896081
ETH/USDT,3.0,1.5,1.5,1.0,1403,0.27797576621525305,-0.00044878504511189967,-0.0029487850451119,-152.66449871204026,0.16492480376948918
ETH/USDT,3.0,1.5,1.5,1.5,1358,0.36156111929307805,-0.00032621265167753413,-0.0028262126516775342,-118.30565943913273,0.21168576115504348
ETH/USDT,3.0,1.5,2.0,0.5,1418,0.15796897038081806,-0.0002532665689965734,-0.0027532665689965737,-184.0077720542173,0.15281297792398527
ETH/USDT,3.0,1.5,2.0,1.0,1388,0.26440922190201727,-0.000337933856270471,-0.002837933856270471,-129.4377124701019,0.2333300210730996
ETH/USDT,3.0,1.5,2.0,1.5,1336,0.34655688622754494,-0.00023262154535337698,-0.002732621545353377,-101.85304425304426,0.2895160839552354
ETH/USDT,3.0,2.0,1.0,0.5,1076,0.09665427509293681,-0.0005974109120909229,-0.003097410912090923,-327.3043610638683,0.0326257200792847
ETH/USDT,3.0,2.0,1.0,1.0,1073,0.19105312208760486,-0.0007386462246856493,-0.00323864622468565,-208.23545209486238,0.06002273289800388
ETH/USDT,3.0,2.0,1.0,1.5,1054,0.27988614800759015,-0.00042399719690449587,-0.0029239971969044964,-146.43395060639168,0.09806111859886031
ETH/USDT,3.0,2.0,1.5,0.5,1075,0.14325581395348838,-0.000422243469893449,-0.002922243469893449,-242.8697651465072,0.0891591678229109
ETH/USDT,3.0,2.0,1.5,1.0,1065,0.26572769953051645,-0.0005082565361760493,-0.0030082565361760493,-161.44200455480086,0.1536358583087445
ETH/USDT,3.0,2.0,1.5,1.5,1039,0.36284889316650626,-0.00032863401497246973,-0.00282863401497247,-120.22303112889222,0.20936788514747223
ETH/USDT,3.0,2.0,2.0,0.5,1072,0.1417910447761194,-0.0003277045114510871,-0.0028277045114510867,-198.86724640141387,0.13638824637970187
ETH/USDT,3.0,2.0,2.0,1.0,1055,0.25308056872037915,-0.00037440431790862645,-0.0028744043179086266,-134.46883350118424,0.22497154134568162
ETH/USDT,3.0,2.0,2.0,1.5,1025,0.3463414634146341,-0.0002410960780435323,-0.0027410960780435323,-103.01094289595248,0.2902818146274253
ETH/USDT,3.0,2.5,1.0,0.5,788,0.09644670050761421,-0.0005445619019925319,-0.0030445619019925318,-324.21956080768234,0.033034219900308186
ETH/USDT,3.0,2.5,1.0,1.0,787,0.18297331639135958,-0.0006743968838002656,-0.003174396883800265,-208.484366017687,0.05951964940332939
ETH/USDT,3.0,2.5,1.0,1.5,777,0.2676962676962677,-0.00037635965778003513,-0.002876359657780035,-147.30474743897045,0.09344051888864244
ETH/USDT,3.0,2.5,1.5,0.5,788,0.14720812182741116,-0.000331016504737115,-0.002831016504737115,-232.33116856750075,0.09585169818555668
ETH/USDT,3.0,2.5,1.5,1.0,783,0.26436781609195403,-0.00042441720158093284,-0.002924417201580933,-158.904192789229,0.15601425424358747
ETH/USDT,3.0,2.5,1.5,1.5,770,0.36233766233766235,-0.00025059760364894406,-0.0027505976036489442,-118.50745034810807,0.21117486306864194
ETH/USDT,3.0,2.5,2.0,0.5,786,0.15521628498727735,-0.00019948057702661817,-0.002699480577026618,-184.6493828918463,0.15198941295449905
ETH/USDT,3.0,2.5,2.0,1.0,779,0.2644415917843389,-0.000240060160838435,-0.0027400601608384353,-128.32737104156038,0.23790372134678603
ETH/USDT,3.0,2.5,2.0,1.5,763,0.3617300131061599,-7.815124294292511e-05,-0.002578151242942925,-97.19337743275923,0.30868429672216086
ETH/USDT,5.0,1.5,1.0,0.5,741,0.11336032388663968,-0.0005172408217131782,-0.003017240821713178,-300.4771054472936,0.03982486593272708
ETH/USDT,5.0,1.5,1.0,1.0,739,0.19215155615696888,-0.0007378890339152538,-0.0032378890339152537,-203.6723453194476,0.06464141232758244
ETH/USDT,5.0,1.5,1.0,1.5,728,0.2692307692307692,-0.0005331049098461901,-0.00303310490984619,-149.52595636247918,0.09577014758650185
ETH/USDT,5.0,1.5,1.5,0.5,741,0.1592442645074224,-0.00029810163387421776,-0.0027981016338742173,-217.92020821438865,0.10681019845485971
