symbol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_net,e_pnl_gross,sharpe,profit_factor,plateau_robust
ETH/USDT,2.5,1.0,0.5,538,0.15055762081784388,-0.00242314348630816,-0.0005231434863081602,-257.1099264979302,0.06522727215462643,False
ETH/USDT,2.5,1.0,1.0,537,0.27932960893854747,-0.002559846233470044,-0.0006598462334700435,-167.63776763625938,0.11408791668779851,False
ETH/USDT,2.5,1.0,1.5,531,0.4105461393596987,-0.002131978224068948,-0.00023197822406894835,-110.45992107735474,0.19452135077716418,False
ETH/USDT,2.5,1.5,0.5,538,0.18587360594795538,-0.002196538570836906,-0.00029653857083690596,-179.49071201679467,0.1549283424390476,False
ETH/USDT,2.5,1.5,1.0,535,0.308411214953271,-0.002296174278937787,-0.00039617427893778775,-124.22272098102987,0.23994419324548039,False
ETH/USDT,2.5,1.5,1.5,529,0.41776937618147447,-0.0020904077375490985,-0.0001904077375490986,-90.55910380173606,0.3227238342450203,False
ETH/USDT,2.5,2.0,0.5,537,0.18063314711359404,-0.002040510192403421,-0.00014051019240342137,-137.6692987501883,0.22989312184197985,False
ETH/USDT,2.5,2.0,1.0,531,0.2994350282485876,-0.002125447091535535,-0.00022544709153553554,-99.35435171905455,0.3269092239292802,False
ETH/USDT,2.5,2.0,1.5,525,0.3904761904761905,-0.001990130651193563,-9.013065119356312e-05,-75.52379673390328,0.4077869110421763,False
ETH/USDT,3.0,1.0,0.5,312,0.14102564102564102,-0.0024300411957446475,-0.0005300411957446471,-278.04535113536525,0.047973027799988216,False
ETH/USDT,3.0,1.0,1.0,312,0.2403846153846154,-0.002712636453929542,-0.000812636453929542,-187.86032662016126,0.08124194846042948,False
ETH/USDT,3.0,1.0,1.5,312,0.375,-0.002352964858992892,-0.000452964858992892,-123.76285921833863,0.14712230167343454,False
ETH/USDT,3.0,1.5,0.5,312,0.1858974358974359,-0.002224863374514908,-0.0003248633745149077,-199.65874267891112,0.1278384605168485,False
ETH/USDT,3.0,1.5,1.0,311,0.3022508038585209,-0.002382214161431809,-0.0004822141614318092,-136.81205405986816,0.20203588678573367,False
ETH/USDT,3.0,1.5,1.5,311,0.4115755627009646,-0.0022201309725863607,-0.00032013097258636096,-98.91485070342088,0.28280479678018094,False
ETH/USDT,3.0,2.0,0.5,312,0.1891025641025641,-0.002080605773482344,-0.00018060577348234376,-156.94027292172103,0.19739145366966102,False
ETH/USDT,3.0,2.0,1.0,309,0.3074433656957929,-0.0022047713166488633,-0.00030477131664886307,-110.31643354396745,0.2888636427226072,False
ETH/USDT,3.0,2.0,1.5,309,0.4077669902912621,-0.0020382642621694217,-0.00013826426216942124,-79.88844165189533,0.3835317195769519,False
